CHEM_ID,CVHS-00001,CVHS-00002,CVHS-00003,CVHS-00006,CVHS-00007,CVHS-00008,CVHS-00009,CVHS-00010,CVHS-00011,CVHS-00012,CVHS-00014,CVHS-00018,CVHS-00023,CVHS-00024,CVHS-00025,CVHS-00027,CVHS-00028,CVHS-00029,CVHS-00030,CVHS-00031,CVHS-00034,CVHS-00035,CVHS-00039,CVHS-00040
30,0.024012212,0.188549061,-0.055223149,-2.439975193,-2.272794412,-2.104943131,0.281755646,0.09858345,-2.495810058,-2.472938633,0.405425804,-2.676828256,0.011665739,-0.163476901,0.279427745,-2.676828256,-2.676828256,-2.581222477,0.183304286,-2.676828256,0.333132858,0.327039839,-2.271311049,-2.296160303
49,-0.891708837,-1.629149991,-0.121944022,-0.208174762,0.716410106,-1.629149991,0.043919863,-0.245704951,-1.269274535,0.214619978,1.680494471,-1.629149991,-1.188640477,-0.918465715,-1.629149991,0.81775996,0.303499272,-1.629149991,0.033265669,-1.629149991,-0.349254035,0.099744776,-1.629149991,-1.629149991
50,0.158601395,2.27963643,-0.453693326,0.671861617,-0.241563093,-0.343531252,1.607663094,0.359947751,2.909344849,0.278572367,-1.031033441,1.051338351,0.089054812,0.059710187,-0.643256041,-0.180761005,-0.061504371,-0.660624719,0.657682752,2.026855389,0.059876116,0.280954903,0.057939764,1.98074925
54,0.915963586,0.385499595,0.402627528,-2.321593405,-1.835368261,-1.304962645,1.02219133,1.122043415,0.330979352,-0.894596629,-0.014582334,-1.11395591,1.266198937,0.716300993,-0.08859013,-0.6536432,-0.139716372,0.043194325,1.034904639,-0.154660089,1.510623551,1.343068593,-0.951659645,-0.450927164
55,-1.983082843,0.165568686,-1.983082843,3.807166173,3.554901822,1.833368977,-1.983082843,-1.983082843,-0.731923058,0.060035124,-1.983082843,-1.983082843,-1.983082843,-1.983082843,-1.983082843,-1.983082843,-1.983082843,0.070949873,-1.983082843,0.123824715,-1.983082843,-1.983082843,-1.983082843,-0.878986534
62,0.044549572,0.062359325,-0.185730166,-2.764397442,-2.443560478,-3.386027703,0.321106245,-0.317864053,-3.276570168,-3.386027703,-0.061707062,-3.386027703,0.354907329,-0.150556589,-0.338401778,-3.386027703,-3.386027703,-3.386027703,0.113735736,-2.457399234,0.526507459,0.724688349,-3.386027703,-2.83356728
71,-0.383064389,-0.382467324,-0.527815335,0.025683519,-0.026360589,1.864695644,0.30852472,-0.063916656,0.166172994,0.268192263,0.364040165,0.289334597,0.13509713,-0.310989396,0.194769559,0.544468925,0.912628088,0.954655363,-0.197769986,0.117525019,-0.536602355,-0.457778563,0.703825386,0.08156136
72,-1.816578035,-1.816578035,-1.816578035,-1.816578035,-1.816578035,-1.816578035,3.4306646,0.999409259,0.033146366,-1.816578035,-1.816578035,-1.816578035,-1.816578035,-1.816578035,-1.816578035,-1.816578035,-1.816578035,-1.816578035,-1.816578035,-1.816578035,-0.034282825,-1.816578035,-1.816578035,-1.816578035
74,0.560842795,0.510355387,0.032337998,-1.210709264,-1.210709264,-1.210709264,3.67628108,1.674922181,0.454959919,-1.210709264,-0.282646641,-1.210709264,0.413114499,-0.167854916,-0.794886485,-1.210709264,-1.210709264,-1.210709264,1.176600505,-1.210709264,1.266957945,1.017608031,-1.210709264,-1.210709264
93,2.396659347,2.685102077,0.22316404,-0.512573502,-0.018890476,-1.843853068,2.799749982,1.540410625,-0.524466655,-2.03033272,0.256491835,-1.498167046,2.665496157,0.361508408,-0.232712112,-1.640058441,-1.690014763,0.018540232,1.036501057,0.171184793,2.528012205,2.100697943,-1.628280199,-1.281295547
98,0.436553342,-0.194289455,0.329167506,-0.757751848,-0.608482329,0.780641681,-1.45471187,-1.415848125,0.660553993,0.591491335,0.221265995,-0.296797584,-0.218045368,0.165383645,0.252154652,-0.376280184,-0.879158916,-0.855996275,-1.844560491,-0.373984817,-1.163876587,-0.492377134,-0.041820826,-0.330450655
112,0.824082421,0.462434169,-0.075835081,-1.027275113,-1.027275113,-1.027275113,0.382061166,0.002623431,-1.027275113,-1.027275113,0.064710093,-1.027275113,0.797648084,0.11290046,-0.292861213,-1.027275113,-1.027275113,-1.027275113,-0.028286205,-1.027275113,0.510924414,0.565687254,-1.027275113,-1.027275113
